DateTime,Power,Voltage
2001/1/20 12:00,31,45
2001/1/20 13:00,98,78
2001/1/20 14:00,57,25
2001/1/20 15:00,1,82
2001/1/20 16:00,30,47
2001/1/20 17:00,41,0
2001/1/20 18:00,81,25
2001/1/20 19:00,83,35
2001/1/20 20:00,83,67
2001/1/20 21:00,8,70
2001/1/20 22:00,18,70
2001/1/20 23:00,57,7
2002/1/20 0:00,26,15
2002/1/20 1:00,32,47
2002/1/20 2:00,72,22
2002/1/20 3:00,70,27
2002/1/20 4:00,56,60
2002/1/20 5:00,72,57
2002/1/20 6:00,63,47
2002/1/20 7:00,76,60
2002/1/20 8:00,46,52
2002/1/20 9:00,86,62
2002/1/20 10:00,61,37
2002/1/20 11:00,19,72
2002/1/20 12:00,14,50
2002/1/20 13:00,53,15
2002/1/20 14:00,72,12
2002/1/20 15:00,80,45
2002/1/20 16:00,85,60
2002/1/20 17:00,91,67
2002/1/20 18:00,1,70
2002/1/20 19:00,45,75
2002/1/20 20:00,68,0
2002/1/20 21:00,38,37
2002/1/20 22:00,70,57
2002/1/20 23:00,9,32
2003/1/20 0:00,69,57
2003/1/20 1:00,80,7
2003/1/20 2:00,11,57
2003/1/20 3:00,89,67
2003/1/20 4:00,15,10
2003/1/20 5:00,3,75
2003/1/20 6:00,63,12
2003/1/20 7:00,1,2
2003/1/20 8:00,26,52
2003/1/20 9:00,45,0
2003/1/20 10:00,14,22
2003/1/20 11:00,4,37
2003/1/20 12:00,73,12
2003/1/20 13:00,32,2
2003/1/20 14:00,4,60
2003/1/20 15:00,15,27
2003/1/20 16:00,17,2
2003/1/20 17:00,89,12
2003/1/20 18:00,14,15
2003/1/20 19:00,44,75
2003/1/20 20:00,73,12
2003/1/20 21:00,66,37
2003/1/20 22:00,84,60
2003/1/20 23:00,59,55
2004/1/20 0:00,2,70
2004/1/20 1:00,27,50
2004/1/20 2:00,7,2
2004/1/20 3:00,6,22
2004/1/20 4:00,30,5
2004/1/20 5:00,82,5
2004/1/20 6:00,24,25
2004/1/20 7:00,69,67
2004/1/20 8:00,87,20
2004/1/20 9:00,30,57
